Ts	B(Ts)
254.7	2.904277198560252
254.8	2.910273214852752
254.9	2.9162777885918376
255.0	2.922290926085467
255.1	2.928312633641598
255.2	2.9343429175680673
255.3	2.9403817841727116
255.4	2.9464292397633245
255.5	2.9524852906476493
255.6	2.958549943133373
255.7	2.9646232035281987
255.8	2.970705078139733
255.9	2.9767955732755915
256.0	2.9828946952433535
256.1	2.9890024503505916
256.2	2.9951188449048174
256.3	3.0012438852135803
256.4	3.0073775775843545
256.5	3.013519928324658
256.6	3.01967094374195
256.7	3.025830630143709
256.8	3.0319989938374086
256.9	3.038176041130537
257.0	3.0443617783305537
257.1	3.0505562117449325
257.2	3.0567593476811656
257.3	3.0629711924467715
257.4	3.0691917523492136
257.5	3.0754210336960814
257.6	3.081659042794877
257.7	3.087905785953195
257.8	3.0941612694786294
257.9	3.1004254996788
258.0	3.106698482861381
258.1	3.1129802253340495
258.2	3.119270733404555
258.3	3.1255700133806563
258.4	3.1318780715701755
258.5	3.1381949142809744
258.6	3.1445205478209743
258.7	3.1508549784981286
258.8	3.1571982126204836
258.9	3.1635502564960833
259.0	3.169911116433106
259.1	3.1762807987397528
259.2	3.1826593097242926
259.3	3.1890466556951
259.4	3.195442842960538
259.5	3.2018478778291914
259.6	3.2082617666095863
259.7	3.2146845156103963
259.8	3.2211161311403838
259.9	3.2275566195083716
260.0	3.234005987023317
260.1	3.240464239994256
260.2	3.2469313847302774
260.3	3.2534074275406732
260.4	3.259892374734742
260.5	3.266386232621931
260.6	3.2728890075118295
260.7	3.2794007057140773
260.8	3.2859213335384823
260.9	3.29245089729496
261.0	3.2989894032935347
261.1	3.305536857844394
261.2	3.312093267257807
261.3	3.3186586378442406
261.4	3.325232975914223
261.5	3.331816287778489
261.6	3.3384085797478806
261.7	3.3450098581333987
261.8	3.351620129246203
261.9	3.3582393993975583
262.0	3.3648676748989557
262.1	3.3715049620620148
262.2	3.378151267198504
262.3	3.3848065966203587
262.4	3.391470956639725
262.5	3.3981443535688722
262.6	3.404826793720275
262.7	3.4115182834065596
262.8	3.418218828940571
262.9	3.4249284366353145
263.0	3.431647112803995
263.1	3.4383748637599982
263.2	3.445111695816908
263.3	3.4518576152885463
263.4	3.458612628488866
263.5	3.4653767417320718
263.6	3.472149961332572
263.7	3.4789322936049776
263.8	3.4857237448641283
263.9	3.4925243214250687
264.0	3.49933402960306
264.1	3.506152875713624
264.2	3.5129808660724695
264.3	3.519818006995558
264.4	3.526664304799074
264.5	3.5335197657994644
264.6	3.5403843963134
264.7	3.5472582026577824
264.8	3.554141191149794
264.9	3.5610333681068447
265.0	3.567934739846641
265.1	3.574845312687065
265.2	3.5817650929463536
265.3	3.5886940869429456
